target,pred_mean,pred_std,lower_95,upper_95
9.02640000340706,9.054243877058681,0.01220018742634181,9.030331507781106,9.078156246336254
9.021599996618512,9.042663612630426,0.013873232065189043,9.015472070755548,9.069855154505303
9.033800003862616,9.034541153470853,0.013197634256883936,9.008673794891978,9.06040851204973
9.02799999766181,9.041903159498355,0.014208426585234041,9.014054637144978,9.06975168185173
9.00289999920082,9.033025616637424,0.013386032805597125,9.006788992578697,9.059262240696151
9.006699994564963,9.011495064360172,0.013865111852301378,8.984319450595189,9.038670678125156
9.030500002198526,9.002523033933304,0.01382108131925444,8.975433715448476,9.02961235241813
9.037100005526705,9.01797941471545,0.013332936102909707,8.991846863917756,9.044111965513142
9.000699998091426,9.022038884515371,0.011915792285441677,8.998683927011228,9.045393842019514
9.07590000434411,8.997642882085012,0.011314975361483974,8.975465535631818,9.019820228538205
9.050800005883119,9.055928977390812,0.013057725751623818,9.030335832154833,9.081522122626788
9.033999994135348,9.049279147667574,0.012437803504296546,9.024901055351735,9.073657239983415
9.07269999181031,9.027917798524546,0.013330354992341309,9.001790304841684,9.05404529220741
9.050700004740678,9.058620984121012,0.011790288599400827,9.035512011409049,9.081729956832975
9.042499995145599,9.036200355609218,0.013881678107624898,9.008992260992684,9.06340845022575
9.098000004568332,9.031515785574886,0.011082408140007561,9.009794264148983,9.053237307000789
9.139199994767862,9.076355000533102,0.01323784042191592,9.050408830243049,9.102301170823155
9.08399998877245,9.118022191265254,0.018155527233552064,9.082437352301842,9.153607030228665
9.076100006628991,9.093807332045465,0.015457011419980874,9.063511586539144,9.124103077551787
9.029899995343882,9.085220975694313,0.01537786937469926,9.055080355083303,9.115361596305322
9.05609999435957,9.045331595062141,0.01264498830366506,9.020547420029024,9.07011577009526
9.110499991215459,9.048138990497963,0.013033941696124448,9.022592464413194,9.07368551658273
9.116699989973876,9.091099673484802,0.013108046146317656,9.065407896491399,9.116791450478207
9.132700004594273,9.111824498839491,0.01701029493088431,9.078484322156354,9.145164675522627
9.12899999836042,9.130727009081257,0.015647561644927054,9.1000577818307,9.161396236331813
9.15219999913934,9.127734230146183,0.020333798364966304,9.087879985050545,9.167588475241821
9.123800011026407,9.144188207910735,0.017255521456143248,9.110367377087826,9.178009038733645
9.169400003444723,9.133101955132211,0.022315840527880156,9.089362908898782,9.176841001365641
